file,line,col,value,context,severity,module
qtrader/backtest/broker_sim.py,124,44,10000.0,magic_number,LOW,backtest
qtrader/backtest/broker_sim.py,132,39,10.0,magic_number,LOW,backtest
qtrader/backtest/broker_sim.py,133,28,0.02,magic_number,LOW,backtest
qtrader/backtest/broker_sim.py,135,39,10000.0,magic_number,LOW,backtest
qtrader/backtest/broker_sim.py,175,47,100.0,magic_number,LOW,backtest
qtrader/backtest/l2_broker_sim.py,28,56,5,magic_number,LOW,backtest
qtrader/backtest/l2_broker_sim.py,30,39,1000.0,magic_number,LOW,backtest
qtrader/backtest/integration.py,109,38,10.0,magic_number,LOW,backtest
qtrader/backtest/integration.py,110,30,5.0,magic_number,LOW,backtest
qtrader/backtest/integration.py,111,33,100000.0,magic_number,LOW,backtest
qtrader/backtest/integration.py,153,27,60,magic_number,LOW,backtest
qtrader/backtest/integration.py,254,23,504,magic_number,LOW,backtest
qtrader/backtest/integration.py,255,22,126,magic_number,LOW,backtest
qtrader/backtest/integration.py,374,42,60,magic_number,LOW,backtest
qtrader/backtest/integration.py,426,86,100000.0,magic_number,LOW,backtest
qtrader/backtest/integration.py,454,58,100000.0,magic_number,LOW,backtest
qtrader/backtest/walk_forward_bt.py,22,25,504,magic_number,LOW,backtest
qtrader/backtest/walk_forward_bt.py,23,24,126,magic_number,LOW,backtest
qtrader/backtest/walk_forward_bt.py,24,24,63,magic_number,LOW,backtest
qtrader/backtest/walk_forward_bt.py,25,27,5,magic_number,LOW,backtest
qtrader/backtest/walk_forward_bt.py,33,38,10.0,magic_number,LOW,backtest
qtrader/backtest/walk_forward_bt.py,120,75,252.0,magic_number,LOW,backtest
qtrader/backtest/walk_forward_bt.py,120,82,0.5,magic_number,LOW,backtest
qtrader/backtest/walk_forward_bt.py,131,24,2024,magic_number,LOW,backtest
